ENTIDAD,NOM_ENT ,DISTRITO,INDIGENA,COMPLEJIDA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_0A17,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,POB_EDADNE,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LEN,PCDISC_AUD,PCDISC_M_A,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_C,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRI,PAFIL_OTRA,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCIN,VPH_SINTIC
1,Aguascalientes,1,NO,Disperso 1,482911,245249,237662,27689,13802,13887,174555,454645,231155,223490,434395,221212,213183,364938,187031,177907,336276,172886,163390,307779,158913,148866,30316,14873,15443,59391,29251,30140,68140,33515,34625,28662,14145,14517,28497,13973,14524,61156,30856,30300,130505,42965,22281,20684,96,146058,306770,29506,577,2,412422,209102,203320,64416,33127,31289,415215,212669,202546,14859,7406,7453,718,300,418,17,9,8,687,286,401,704,14,679,1536,7330,3690,3640,23905,11441,9898,3420,4382,4524,4375,49251,14856,29927,2992,8841,1978,10127,6296,406189,12884,6254,6630,2077,937,1140,2914,1236,1678,19271,9873,9398,15646,8367,7279,1332,551,781,10293,5164,5129,11006,5380,5626,32320,15492,16828,46193,23361,22832,11263,4650,6613,105804,56498,49306,116999,60756,56243,9,9,9,223452,86173,137279,140695,100593,40102,219643,85286,134357,3809,887,2922,90452,391502,208699,28075,1443,662,151086,617,6977,854,126469,204531,33869,121731,34347,87384,481989,123518,358471,153113,121793,151352,120032,121567,121731,23470,7850,481989,3,1,120028,1376,31342,90064,3207,13266,104934,120635,776,120263,102010,1146,97040,30588,119406,483,119820,1580,118674,135,119202,42559,499,112279,103478,64435,72585,19181,51540,92182,115363,42092,32683,110208,59381,45106,19305,14900,2752,8043,54801,985
1,Aguascalientes,2,NO,Concentrado 1,486085,249098,236987,24904,12319,12585,160970,460516,236446,224070,442271,227479,214792,379191,196264,182927,351913,182833,169080,324450,169358,155092,27159,13234,13925,54166,26948,27218,62898,31112,31786,27278,13431,13847,27463,13475,13988,64344,32356,31988,136831,39052,21246,17806,95,133507,327570,24343,665,1,376149,191772,184377,106153,55497,50656,420781,217013,203768,19501,9674,9827,979,394,585,6,2,4,956,386,570,971,6,949,2389,6769,3330,3439,23931,10768,10862,2908,4050,3660,4233,61005,16834,39549,3068,10394,1905,12489,6770,397348,11176,5442,5734,1572,727,845,2281,966,1315,19376,9847,9529,21548,11199,10349,1067,453,614,5589,3168,2421,7111,3798,3313,16500,8762,7738,38966,21015,17951,10789,4679,6110,105273,55406,49867,159877,81824,78053,10,10,10,246439,105250,141189,132283,90791,41492,241070,103522,137548,5369,1728,3641,83390,401780,300975,29763,978,1593,68846,367,6277,1043,137176,199834,42085,132975,41324,91651,485324,136598,348726,154435,133018,150284,128867,132835,132975,17872,3545,485324,3,0,131805,821,27050,105591,1612,10540,120489,132398,244,132168,130564,474,99298,46196,132262,212,132411,218,131879,22,132271,49489,207,125908,114589,82318,78211,13852,23783,111298,127723,61143,51688,126004,84830,63907,33974,25751,1651,3813,40681,373
1,Aguascalientes,3,NO,Concentrado 2,456611,234577,222034,19271,9483,9788,127810,437074,224960,212114,423003,218022,204981,372590,193298,179292,350715,182668,168047,328535,171818,156717,21358,10572,10786,43126,21090,22036,50867,24756,26111,21875,10630,11245,22180,10850,11330,55347,27420,27927,121581,63359,35176,28183,94,105630,307494,43221,266,1,344676,175907,168769,105861,55796,50065,396238,205638,190600,22062,10876,11186,842,349,493,2,2,0,818,340,478,833,2,809,1627,8326,4191,4135,23458,12298,9128,2969,4557,4542,4359,55226,17946,33813,2880,11063,2485,11940,7103,374401,7435,3675,3760,1292,628,664,1617,699,918,16846,8566,8280,22784,11548,11236,779,314,465,6026,3430,2596,7450,4108,3342,16789,9288,7501,37246,20354,16892,8295,3477,4818,76959,39855,37104,190373,97839,92534,11,11,11,237039,102110,134929,134925,90936,43989,232270,100460,131810,4769,1650,3119,88246,367857,270851,34933,1365,941,52064,696,18535,1282,138725,188908,44786,131739,43782,87957,453887,135619,318268,156424,131860,151463,126899,131609,131739,18985,5579,453887,3,0,130801,702,28031,103486,1571,6880,123064,131328,190,130999,122618,517,99565,75737,130929,316,130917,581,130429,27,130648,38696,170,127002,117643,91818,89585,12609,30429,108522,127325,73914,63447,123683,91792,65076,45445,29475,1618,3467,33514,353
2,Baja California,1,NO,Concentrado 2,485628,240417,245211,19179,9563,9616,139707,466295,230773,235522,451247,223370,227877,394456,195429,199027,369953,183311,186642,345767,171484,174283,22881,11283,11598,48958,24061,24897,57386,28297,29089,24503,12118,12385,24186,11827,12359,60120,29478,30642,132689,47492,24724,22768,101,115521,340425,29528,154,1,326059,161286,164773,143101,71200,71901,428358,213303,215055,18305,8491,9814,3775,1190,2585,35,21,14,3070,1111,1959,3747,33,3048,5281,4467,2112,2355,19213,8839,8382,2883,3391,3732,3402,46283,12852,30307,2600,8247,2159,8215,6305,416329,9433,4626,4807,2072,1000,1072,1428,629,799,18758,9412,9346,21968,11170,10798,1116,471,645,7055,3473,3582,11829,5607,6222,21001,9976,11025,37094,18449,18645,13152,5831,7321,97228,49315,47913,175341,86607,88734,10,10,10,254261,104115,150146,137612,90865,46747,250880,103095,147785,3381,1020,2361,86161,398782,274755,24034,16579,326,65576,1716,21710,5538,134396,212502,46668,149951,43727,106224,482955,130508,352447,175883,150005,167939,142061,149508,149951,19150,6728,482955,3,0,147416,2011,43271,106182,3910,19464,126075,148451,1005,148054,135151,1398,3089,1002,139684,9239,141265,8129,140372,243,139140,30006,581,144885,131526,102265,118380,9300,31682,94243,142140,72486,70615,141300,97720,72397,48338,29949,4220,5526,44317,1241
2,Baja California,2,NO,Concentrado 1,396169,197545,198624,11110,5479,5631,92281,384537,191807,192730,375417,187247,188170,338938,169341,169597,321443,160751,160692,303366,151901,151465,14015,6974,7041,31584,15492,16092,39015,19157,19858,17495,8590,8905,18077,8850,9227,47512,22945,24567,102152,62549,34708,27841,100,74204,278602,42841,522,1,274392,135793,138599,105460,54440,51020,360355,181442,178913,8701,4215,4486,1374,636,738,13,10,3,1293,588,705,1363,13,1283,2576,5184,2367,2817,18475,9670,7366,2681,3523,4068,3469,39955,13008,24998,2787,8454,2901,7528,6253,333450,5436,2648,2788,1537,706,831,1022,477,545,14970,7471,7499,20841,10374,10467,671,283,388,3842,2082,1760,6774,3528,3246,14752,7731,7021,29504,15604,13900,11116,4536,6580,72431,36718,35713,173960,85777,88183,11,10,11,207153,86491,120662,128260,82263,45997,203707,85380,118327,3446,1111,2335,73529,319095,211101,24523,20485,1977,44342,1502,16888,6604,127073,163501,47993,128335,44193,84142,391657,126953,264704,143625,128408,134438,119221,128137,128335,11573,3644,391657,3,0,126075,1807,33369,94569,2840,14477,110617,127397,545,127510,126992,421,829,609,127082,590,127238,614,126723,110,126848,26822,412,125080,115076,95312,100024,8812,25910,87378,123109,72952,82630,119147,97297,65908,49026,26747,2815,4302,26120,894
2,Baja California,3,NO,Disperso 2,457179,228534,228645,21273,10485,10788,133316,435490,217840,217650,420002,210067,209935,367964,184387,183577,345572,173348,172224,323447,162433,161014,22978,11543,11435,44548,21910,22638,52191,25654,26537,22392,11039,11353,22125,10915,11210,58424,28621,29803,121036,53728,28242,25486,100,111191,310089,35483,416,2,273100,136738,136362,172686,86354,86332,385292,194625,190667,29288,13700,15588,26867,13011,13856,1112,756,356,25660,12215,13445,26532,1052,25386,55323,9351,4412,4939,22430,10060,10039,2974,4767,4075,3717,47898,14651,28782,3043,9125,2447,9611,6255,382975,10518,5292,5226,1997,976,1021,1744,792,952,16643,8441,8202,20291,10482,9809,1229,505,724,12836,7328,5508,17951,9573,8378,28181,13682,14499,42801,21474,21327,14873,6320,8553,73299,36165,37134,156357,79473,76884,9,9,9,236250,97957,138293,129492,85898,43594,233269,97046,136223,2981,911,2070,91387,363758,197871,24613,14209,6920,110307,4849,9413,3256,127706,191784,48178,140614,45955,94659,453815,139733,314082,172573,140731,166989,135147,139468,140614,19950,11892,453815,3,0,136006,3258,47655,91618,14587,21743,102944,135547,3731,130372,115232,8905,56517,15979,114788,23532,118829,20443,114968,1738,113384,40638,1303,122639,105700,72481,97714,7097,24075,82530,122460,64075,58790,131080,85649,80849,40148,21101,10778,5483,47404,1942
2,Baja California,4,NO,Concentrado 2,582501,288374,294127,27119,13444,13675,187298,554980,274720,280260,533906,264220,269686,459341,227692,231649,426668,211519,215149,394801,195950,198851,31316,15324,15992,64323,31704,32619,76173,37567,38606,32673,16173,16500,31867,15569,16298,82011,40367,41644,172709,29192,15029,14163,101,155431,409834,16834,402,1,262927,129559,133368,303841,151583,152258,471718,234500,237218,56144,27642,28502,5087,2361,2726,79,58,21,4973,2290,2683,5047,77,4935,12084,11865,5618,6247,21205,8408,10232,3523,3356,3850,3850,54551,12966,36069,3498,8338,2310,9470,7541,501689,18449,9061,9388,4340,2039,2301,2856,1268,1588,23806,11997,11809,24167,12489,11678,1949,832,1117,6915,3749,3166,12952,6688,6264,21986,10958,11028,58650,30229,28421,17855,8355,9500,126150,63778,62372,171957,82670,89287,9,9,9,314238,129683,184555,143953,97481,46472,309981,128403,181578,4257,1280,2977,133040,448274,360871,12004,4498,264,61486,1575,7849,4267,161305,248541,48964,164035,54289,109746,580821,190245,390576,179929,164093,169546,153710,163730,164035,11749,4087,580821,3,1,158910,4634,49506,114052,8630,34912,120016,162911,658,160584,157117,2985,8036,3477,160786,2157,161709,1840,159013,116,160325,64799,623,155360,131627,93718,97645,7086,12628,104970,152839,72643,72123,156759,112117,92232,45854,26991,5775,5010,44425,1150
2,Baja California,5,NO,Altamente Concentrado 2,418815,207441,211374,13556,6566,6990,97648,404835,200661,204174,394559,195567,198992,355718,176662,179056,338351,168278,170073,320743,159743,161000,15696,7688,8008,33421,16311,17110,40010,19381,20629,17367,8384,8983,17608,8535,9073,50982,24846,26136,114217,53909,29167,24742,101,80040,302867,35484,424,1,218227,107173,111054,167964,85406,82558,358685,180420,178265,23168,11416,11752,2315,1024,1291,16,6,10,2278,1005,1273,2302,16,2265,4635,8488,4066,4422,16208,8000,6779,2577,3185,3515,3297,40076,12454,25353,2774,8005,2687,7538,5934,357492,7687,3741,3946,2295,1094,1201,1414,670,744,14142,6996,7146,20566,10310,10256,755,310,445,4060,2254,1806,7353,3874,3479,16652,8575,8077,35895,18889,17006,12028,5074,6954,68587,34249,34338,184863,90841,94022,10,10,11,233456,98755,134701,116456,76823,39633,230646,97833,132813,2810,922,1888,111688,301097,217064,17258,6518,198,28167,2176,29626,6846,129551,179049,46060,131611,45459,86152,413083,137776,275307,143975,131681,125916,113622,131284,131611,9365,2929,413083,3,0,128814,2258,33797,97311,6875,16913,107326,130864,256,130591,129994,528,7977,17959,130329,357,130555,547,130158,80,130236,35081,324,127061,109959,93880,95105,8715,15369,92083,125431,82257,80802,124686,106331,73242,58240,31327,3172,3240,20869,687
2,Baja California,6,NO,Concentrado 1,424896,211303,213593,14724,7353,7371,108641,405489,201609,203880,393806,195811,197995,350009,174440,175569,330610,165019,165591,311572,155736,155836,17783,8746,9037,37697,18423,19274,45100,21899,23201,19399,9421,9978,19038,9283,9755,48326,23886,24440,116312,48674,25937,22737,101,89603,298549,32061,4683,1,232771,115096,117675,155046,79319,75727,366707,183366,183341,17167,8670,8497,2269,1063,1206,20,11,9,2232,1044,1188,2255,19,2219,5139,7046,3241,3805,15889,7724,6812,2596,3017,3493,3144,39586,12257,24924,2728,7880,2623,7622,6229,360155,9102,4452,4650,2807,1323,1484,1625,768,857,15208,7597,7611,17732,8913,8819,906,400,506,4337,2399,1938,8258,4296,3962,16694,8609,8085,39454,20309,19145,11317,5101,6216,76871,39061,37810,164836,80768,84068,10,10,10,233648,97778,135870,114887,76036,38851,230836,96871,133965,2812,907,1905,119833,299177,194039,17239,8631,1054,50364,1689,23282,8770,126804,176680,45674,134908,47042,87866,421442,142409,279033,152167,135028,137728,120589,134558,134908,13484,3655,421442,3,0,131203,1907,38441,94720,6440,20928,105795,132788,384,131930,130602,1240,11036,15354,131220,1402,131700,1467,130752,126,130784,40781,473,128300,109833,92837,91288,8932,13846,92196,127420,77386,78328,125832,102896,69324,55232,30858,3381,4316,25319,901
2,Baja California,7,NO,Disperso 1,506278,247548,258730,21419,10586,10833,153914,483826,236446,247380,466864,228028,238836,404879,197614,207265,377321,184079,193242,351331,171398,179933,25631,12721,12910,53316,26111,27205,63585,31051,32534,27558,13535,14023,25990,12681,13309,61840,30336,31504,137710,46092,22616,23476,104,127924,347405,29916,1033,2,295106,144765,150341,190057,92860,97197,430042,213004,217038,25160,12212,12948,4778,2193,2585,24,21,3,4698,2151,2547,4735,23,4658,10603,9521,4619,4902,20535,9232,8808,3326,3744,3990,3893,50676,14410,32645,3225,9197,2619,9687,7103,429600,11581,5670,5911,2687,1300,1387,1979,821,1158,19785,9972,9813,18507,9746,8761,1450,598,852,7254,3671,3583,12382,5861,6521,24274,11141,13133,46710,22705,24005,17652,7277,10375,105249,52413,52836,155932,76732,79200,9,9,9,261210,105551,155659,137897,91573,46324,257543,104415,153128,3667,1136,2531,103502,396277,240149,18652,10664,2940,108279,4212,11749,5428,138655,217481,48250,152930,48169,104761,499623,152674,346949,197237,153029,184588,140380,151288,152930,23623,20585,499623,3,0,147953,2956,49084,101858,8221,28853,113857,148995,1959,144724,132339,6223,25109,10371,144087,5846,145706,5201,140362,555,143295,37450,899,143191,122928,91041,112217,9470,21944,90454,140377,66215,63994,142511,96238,82460,41895,24639,6156,6017,47077,1647
