,ENTIDAD,NOM_ENT ,DISTRITO,INDIGENA,POBTOT,POBFEM,POBMAS,PCLIM_RE_C,GRAPROES,PEA,PE_INAC,TVIVPAR
0,1,Aguascalientes,1,NO,482911,245249,237662,10127,9,223452,140695,151352
1,1,Aguascalientes,2,NO,486085,249098,236987,12489,10,246439,132283,150284
2,1,Aguascalientes,3,NO,456611,234577,222034,11940,11,237039,134925,151463
3,2,Baja California,1,NO,485628,240417,245211,8215,10,254261,137612,167939
4,2,Baja California,2,NO,396169,197545,198624,7528,11,207153,128260,134438
5,2,Baja California,3,NO,457179,228534,228645,9611,9,236250,129492,166989
6,2,Baja California,4,NO,582501,288374,294127,9470,9,314238,143953,169546
7,2,Baja California,5,NO,418815,207441,211374,7538,10,233456,116456,125916
8,2,Baja California,6,NO,424896,211303,213593,7622,10,233648,114887,137728
9,2,Baja California,7,NO,506278,247548,258730,9687,9,261210,137897,184588
10,2,Baja California,8,NO,497554,247269,250285,7196,9,270682,126317,148998
11,3,Baja California Sur,1,NO,398167,198535,199632,10972,10,207091,117087,152714
12,3,Baja California Sur,2,NO,400280,194033,206247,7166,10,220189,90626,133337
13,4,Campeche,1,NO,470590,240895,229695,11091,9,236211,137815,154342
14,4,Campeche,2,NO,457773,230529,227244,8893,9,226396,128322,158428
15,5,Coahuila de Zaragoza,1,NO,444379,221345,223034,5740,9,211808,133598,156600
16,5,Coahuila de Zaragoza,2,NO,447641,222762,224879,6719,9,196742,148296,151556
17,5,Coahuila de Zaragoza,3,NO,429221,215582,213639,6748,10,191884,146537,143299
18,5,Coahuila de Zaragoza,4,NO,492819,248415,244404,6224,11,241685,148317,153655
19,5,Coahuila de Zaragoza,5,NO,353269,182554,170715,7205,11,179148,115142,123263
20,5,Coahuila de Zaragoza,6,NO,506358,256328,250030,9712,10,241275,147907,169235
21,5,Coahuila de Zaragoza,7,NO,473084,236116,236968,6780,10,222393,144619,145500
22,6,Colima,1,NO,380580,194962,185618,10024,10,202038,110399,150853
23,6,Colima,2,NO,350811,175807,175004,7498,9,184604,93801,127699
24,7,Chiapas,1,SI,410229,207521,202708,5050,7,193459,95236,113079
25,7,Chiapas,10,NO,410609,207354,203255,6238,7,191105,119321,131483
26,7,Chiapas,11,SI,387847,197555,190292,3589,6,173563,96928,95470
27,7,Chiapas,12,NO,435403,225265,210138,5623,9,204829,128516,147732
28,7,Chiapas,13,NO,424185,214244,209941,5354,7,182118,128330,126123
29,7,Chiapas,2,SI,445224,226749,218475,3904,6,153878,142097,110352
30,7,Chiapas,3,SI,426589,216247,210342,3660,6,193594,94735,98747
31,7,Chiapas,4,NO,408235,206723,201512,6906,7,176377,126009,133410
32,7,Chiapas,5,SI,454255,239585,214670,4377,7,186487,138435,124437
33,7,Chiapas,6,NO,470504,240393,230111,5866,9,223927,138642,158417
34,7,Chiapas,7,NO,390090,197706,192384,6063,7,185052,112923,135081
35,7,Chiapas,8,NO,466942,240529,226413,6544,7,224473,130014,155478
36,7,Chiapas,9,NO,413716,218010,195706,6224,11,212479,120042,138521
37,8,Chihuahua,1,NO,489421,244208,245213,7768,10,257038,126647,148802
38,8,Chihuahua,2,NO,426640,212766,213874,8209,9,211717,119645,156403
39,8,Chihuahua,3,NO,371187,183180,188007,6397,8,183386,111411,122714
40,8,Chihuahua,4,NO,400838,203286,197552,7822,11,213008,122943,145374
41,8,Chihuahua,5,NO,421054,211385,209669,7743,9,200572,134676,162797
42,8,Chihuahua,6,NO,476403,245289,231114,9776,12,251403,143778,166298
43,8,Chihuahua,7,NO,362596,183660,178936,9362,8,166809,117694,150111
44,8,Chihuahua,8,NO,461356,235187,226169,9311,10,238484,133887,166499
45,8,Chihuahua,9,NO,332374,169086,163288,7398,7,141206,111376,129616
46,9,Ciudad de México,1,NO,394439,199344,195095,9633,10,200466,129243,117647
47,9,Ciudad de México,10,NO,414411,218968,195443,9009,13,244462,113556,144517
48,9,Ciudad de México,11,NO,329305,173663,155642,7995,11,183965,100808,108833
49,9,Ciudad de México,12,NO,332157,171867,160290,8011,12,211908,82545,131891
50,9,Ciudad de México,13,NO,404643,212311,192332,11283,11,224887,125107,125110
51,9,Ciudad de México,14,NO,339445,177686,161759,9091,11,189768,101690,104115
52,9,Ciudad de México,15,NO,434153,232032,202121,10333,14,276919,115666,184968
53,9,Ciudad de México,16,NO,397270,207845,189425,8909,11,221060,120430,119050
54,9,Ciudad de México,17,NO,422145,219789,202356,8169,11,231457,121525,104659
55,9,Ciudad de México,18,NO,370215,193199,177016,8426,11,203579,116069,110875
56,9,Ciudad de México,19,NO,371947,193277,178670,9523,10,201084,115858,105597
57,9,Ciudad de México,2,NO,396804,209417,187387,10410,11,215032,130649,132646
58,9,Ciudad de México,20,NO,352544,182299,170245,7541,10,188386,108754,100050
59,9,Ciudad de México,21,NO,433394,221014,212380,11192,10,231763,126537,123925
60,9,Ciudad de México,22,NO,376527,193742,182785,9761,9,193524,111351,100952
61,9,Ciudad de México,23,NO,386927,204506,182421,10221,12,218776,121216,124161
62,9,Ciudad de México,24,NO,383400,202047,181353,9500,12,206280,130508,122612
63,9,Ciudad de México,3,NO,432205,227255,204950,11463,11,239069,137554,145267
64,9,Ciudad de México,4,NO,367231,186862,180369,8915,10,199822,112070,105839
65,9,Ciudad de México,5,NO,361414,187848,173566,9081,11,196065,111920,114029
66,9,Ciudad de México,6,NO,405335,213532,191803,10559,11,222930,124973,113014
67,9,Ciudad de México,7,NO,382108,200716,181392,10354,11,202686,127922,111859
68,9,Ciudad de México,8,NO,328126,172989,155137,8468,11,188963,92215,113537
69,9,Ciudad de México,9,NO,393799,202809,190990,9119,10,207106,120413,118001
70,10,Durango,1,NO,470881,238151,232730,10859,9,195187,155781,155209
71,10,Durango,2,NO,462293,232557,229736,10567,9,207018,151037,156343
72,10,Durango,3,NO,428660,215675,212985,10033,9,184959,146751,154169
73,10,Durango,4,NO,470816,241401,229415,10870,10,231115,139526,148388
74,11,Guanajuato,1,NO,382910,202039,180871,7913,8,169162,118117,119486
75,11,Guanajuato,10,NO,376454,194978,181476,8140,8,184300,120159,145196
76,11,Guanajuato,11,NO,395212,199720,195492,7152,9,206042,106111,108941
77,11,Guanajuato,12,NO,432575,222733,209842,7764,10,222161,127758,150307
78,11,Guanajuato,13,NO,410229,211573,198656,8819,7,182400,137852,133145
79,11,Guanajuato,14,NO,397931,206051,191880,9606,8,183796,125072,152227
80,11,Guanajuato,15,NO,374127,190548,183579,5170,9,180745,112315,107962
81,11,Guanajuato,2,NO,435292,226783,208509,6857,8,207943,126160,136555
82,11,Guanajuato,3,NO,441301,225506,215795,8018,10,234478,118170,133348
83,11,Guanajuato,4,NO,380060,195930,184130,8317,9,175769,118030,119310
84,11,Guanajuato,5,NO,417616,212541,205075,9442,8,217108,109544,115609
85,11,Guanajuato,6,NO,467310,236841,230469,8069,9,243515,120971,137202
86,11,Guanajuato,7,NO,410974,211471,199503,9963,7,200294,116287,129471
87,11,Guanajuato,8,NO,422317,218518,203799,7671,9,191463,144868,139193
88,11,Guanajuato,9,NO,422626,215248,207378,5621,9,197963,127265,126020
89,12,Guerrero,1,NO,352902,180571,172331,9456,7,149882,113381,131764
90,12,Guerrero,2,NO,391093,203518,187575,11921,8,189081,116708,143872
91,12,Guerrero,3,NO,427165,217559,209606,11562,8,211256,120477,156536
92,12,Guerrero,4,NO,368616,194956,173660,10447,10,185884,115320,134389
93,12,Guerrero,5,SI,404179,213246,190933,11314,6,156238,131401,140182
94,12,Guerrero,6,SI,413902,218318,195584,10704,6,176779,119884,130129
95,12,Guerrero,7,NO,400066,208803,191263,9984,9,195992,107973,123647
96,12,Guerrero,8,NO,376855,192831,184024,9284,7,173272,107876,123558
97,12,Guerrero,9,NO,405907,210271,195636,10297,9,196803,117882,169280
98,13,Hidalgo,1,SI,400091,205623,194468,13305,7,164645,142470,133477
99,13,Hidalgo,2,SI,405262,211624,193638,12521,8,195683,122415,154387
100,13,Hidalgo,3,NO,416056,216544,199512,12299,9,206791,125326,147954
101,13,Hidalgo,4,NO,417765,219001,198764,9001,8,206944,119261,145501
102,13,Hidalgo,5,NO,470382,241880,228502,13314,9,229944,145935,180450
103,13,Hidalgo,6,NO,526882,273919,252963,15917,10,271193,157303,220371
104,13,Hidalgo,7,NO,446403,232871,213532,12391,10,227164,136246,187513
105,14,Jalisco,1,NO,391749,199045,192704,9140,8,171174,128789,148275
106,14,Jalisco,10,NO,411067,211162,199905,6962,12,230840,108429,121600
107,14,Jalisco,11,NO,342872,177645,165227,7295,10,181932,104066,105144
108,14,Jalisco,12,NO,726488,366876,359612,12820,10,369299,184303,297150
109,14,Jalisco,13,NO,414116,211079,203037,8273,11,225064,111711,120316
110,14,Jalisco,14,NO,344173,178254,165919,9638,10,183659,104898,105212
111,14,Jalisco,15,NO,422357,215549,206808,8499,8,198466,125975,143865
112,14,Jalisco,16,NO,418419,212149,206270,7878,9,214067,114202,121488
113,14,Jalisco,17,NO,375254,189708,185546,7776,8,175710,115680,154323
114,14,Jalisco,18,NO,372027,188067,183960,8657,8,177010,114166,148282
115,14,Jalisco,19,NO,396027,201584,194443,7364,8,191242,120773,141163
116,14,Jalisco,2,NO,374724,192084,182640,6351,8,183372,103908,128609
117,14,Jalisco,20,NO,527417,259666,267751,10890,9,258705,134641,177332
118,14,Jalisco,3,NO,431340,221366,209974,7661,8,214742,120988,164806
119,14,Jalisco,4,NO,390339,199622,190717,7884,10,197636,104014,105807
120,14,Jalisco,5,NO,385654,192183,193471,8878,9,208443,98231,154277
121,14,Jalisco,6,NO,534366,272438,261928,8820,11,274899,139107,170885
122,14,Jalisco,7,NO,391848,198816,193032,8876,9,206289,104061,105960
123,14,Jalisco,8,NO,345181,181205,163976,7988,12,193975,105005,127269
124,14,Jalisco,9,NO,352733,181198,171535,8047,10,187530,101605,102481
125,15,México,1,NO,433002,222404,210598,11525,8,217881,116721,145863
126,15,México,10,NO,366386,188133,178253,7468,10,186405,113352,112757
127,15,México,11,NO,371103,190549,180554,7784,10,186945,116648,109968
128,15,México,12,NO,398661,205691,192970,8110,10,202045,121422,118804
129,15,México,13,NO,344054,178170,165884,8794,10,177809,111930,97852
130,15,México,14,NO,386731,196355,190376,7578,11,205256,123953,112097
131,15,México,15,NO,396148,204514,191634,6482,11,205490,123432,112005
132,15,México,16,NO,373975,191920,182055,7592,9,188653,113849,112735
133,15,México,17,NO,336642,173300,163342,8719,10,175283,106289,98921
134,15,México,18,NO,471180,243475,227705,7964,10,238766,141142,132937
135,15,México,19,NO,362213,188667,173546,8277,11,190847,121115,108430
136,15,México,2,NO,422202,216124,206078,8600,10,215214,126766,134518
137,15,México,20,NO,356656,184714,171942,8659,10,186277,115204,101477
138,15,México,21,NO,389885,201058,188827,7345,9,187122,123701,114103
139,15,México,22,NO,431691,224322,207369,7499,11,225001,139801,125857
140,15,México,23,NO,452579,231455,221124,8076,9,227921,127976,131648
141,15,México,24,NO,398687,205519,193168,6915,10,204172,123893,115406
142,15,México,25,NO,382162,195792,186370,7899,9,186341,112619,98517
143,15,México,26,NO,479153,246182,232971,8319,10,235397,143202,144140
144,15,México,27,NO,465912,241115,224797,7455,11,234502,144517,138384
145,15,México,28,NO,561903,286816,275087,12584,9,272840,167805,243282
146,15,México,29,NO,350782,180772,170010,8069,10,185719,110225,98965
147,15,México,3,NO,452800,236055,216745,9545,8,229059,121568,140353
148,15,México,30,NO,435373,223329,212044,8260,9,214857,128315,122126
149,15,México,31,NO,352324,182842,169482,8126,10,180510,112992,96738
150,15,México,32,NO,391584,200978,190606,9821,9,197457,110020,103335
151,15,México,33,NO,428219,221361,206858,7971,9,205691,133795,139999
152,15,México,34,NO,427460,223306,204154,8576,11,221114,134425,132647
153,15,México,35,NO,431697,221172,210525,9261,8,208740,119965,133957
154,15,México,36,NO,390046,200769,189277,8169,8,173360,119161,142695
155,15,México,37,NO,429933,219548,210385,8230,10,219392,128802,131847
156,15,México,38,NO,422091,216160,205931,9566,10,209403,131756,120994
157,15,México,39,NO,408163,209027,199136,8876,9,204332,118959,106051
158,15,México,4,NO,441964,226729,215235,10320,9,219209,137374,131637
159,15,México,40,NO,475795,241781,234014,7394,9,225748,143209,141953
160,15,México,41,NO,545448,280923,264525,10053,10,277621,166830,185255
161,15,México,5,NO,424436,214656,209780,7364,9,208540,133707,129020
162,15,México,6,NO,392069,202570,189499,8597,11,200606,126569,126443
163,15,México,7,NO,410724,212039,198685,9572,11,212987,132680,125337
164,15,México,8,NO,357044,182915,174129,7041,10,180720,112142,96505
165,15,México,9,NO,443541,227916,215625,7179,7,219184,104685,121850
166,16,Michoacán de Ocampo,1,NO,367512,185169,182343,9139,8,174267,106959,124909
167,16,Michoacán de Ocampo,10,NO,416750,218072,198678,11411,11,218204,124270,149590
168,16,Michoacán de Ocampo,11,NO,412061,211227,200834,9539,7,190138,118763,125876
169,16,Michoacán de Ocampo,12,NO,360919,180928,179991,7245,7,176744,93719,117228
170,16,Michoacán de Ocampo,2,NO,420273,215927,204346,12690,7,189791,141481,168411
171,16,Michoacán de Ocampo,3,NO,366699,188145,178554,7888,7,170845,108765,127569
172,16,Michoacán de Ocampo,4,NO,400504,205966,194538,9369,7,190891,119547,150380
173,16,Michoacán de Ocampo,5,NO,403252,208528,194724,8946,8,198548,118011,153241
174,16,Michoacán de Ocampo,6,NO,397351,206077,191274,11628,7,182756,118689,139355
175,16,Michoacán de Ocampo,7,NO,413419,213647,199772,9088,7,199604,119139,145404
176,16,Michoacán de Ocampo,8,NO,433320,224343,208977,12067,10,225695,118985,165833
177,16,Michoacán de Ocampo,9,NO,356786,184476,172310,9779,9,178576,98343,106212
178,17,Morelos,1,NO,376292,198538,177754,11762,11,202179,113524,138982
179,17,Morelos,2,NO,401737,206897,194840,11158,10,211184,114516,164395
180,17,Morelos,3,NO,394432,203503,190929,11965,9,200471,114186,156227
181,17,Morelos,4,NO,389277,201638,187639,10689,9,192073,121833,164269
182,17,Morelos,5,NO,409782,210097,199685,11849,9,212082,113157,170863
183,18,Nayarit,1,NO,357383,177307,180076,10034,8,158314,116867,137389
184,18,Nayarit,2,NO,427830,219752,208078,13195,11,221933,121161,154123
185,18,Nayarit,3,NO,450243,226119,224124,10965,9,229309,118445,182541
186,19,Nuevo León,1,NO,439175,223565,215610,6518,11,222533,131951,116773
187,19,Nuevo León,10,NO,395977,200260,195717,7561,12,201597,130187,114012
188,19,Nuevo León,11,NO,366752,185759,180993,7342,11,181606,132278,113962
189,19,Nuevo León,12,NO,707925,348954,358971,7445,9,348144,192360,273452
190,19,Nuevo León,2,NO,554959,274405,280554,5808,11,286848,150922,176809
191,19,Nuevo León,3,NO,481205,239053,242152,7295,10,240760,138225,149019
192,19,Nuevo León,4,NO,412632,209458,203174,7420,11,205054,153978,127513
193,19,Nuevo León,5,NO,318965,158800,160165,4609,9,156338,99641,84624
194,19,Nuevo León,6,NO,421488,215855,205633,7585,12,213775,146267,128898
195,19,Nuevo León,7,NO,840624,415157,425467,9541,9,402729,226571,332082
196,19,Nuevo León,8,NO,434735,217382,217353,6474,10,220797,132055,136467
197,19,Nuevo León,9,NO,410005,204844,205161,8054,8,181822,145505,173812
198,20,Oaxaca,1,SI,387173,201962,185211,14738,8,182300,118596,137402
199,20,Oaxaca,10,NO,457636,236272,221364,9190,7,190337,154527,162400
200,20,Oaxaca,2,SI,400638,209513,191125,13364,7,160328,146714,151336
201,20,Oaxaca,3,NO,433430,227828,205602,11899,9,202256,137703,182656
202,20,Oaxaca,4,SI,453258,238668,214590,10599,7,201650,155647,176717
203,20,Oaxaca,5,SI,377988,194339,183649,9902,7,169520,126918,144279
204,20,Oaxaca,6,SI,400794,211519,189275,12813,6,147745,153263,177812
205,20,Oaxaca,7,SI,410947,211594,199353,9427,8,193003,126790,142923
206,20,Oaxaca,8,NO,407017,216475,190542,10580,11,216796,113355,137563
207,20,Oaxaca,9,SI,403267,209135,194132,9447,7,161658,141660,142160
208,21,Puebla,1,SI,394941,206716,188225,9576,7,187359,114243,131427
209,21,Puebla,10,NO,524291,271084,253207,9265,11,269950,153101,167034
210,21,Puebla,11,NO,501277,257641,243636,10049,10,257882,143326,166654
211,21,Puebla,12,NO,360821,192170,168651,9612,12,189554,123210,124798
212,21,Puebla,13,NO,457506,239404,218102,11888,8,219639,132949,155989
213,21,Puebla,14,NO,432217,224075,208142,9640,7,184377,145766,165540
214,21,Puebla,15,NO,455069,240064,215005,12353,8,235498,117231,142741
215,21,Puebla,2,SI,414927,214749,200178,9061,7,190970,125308,142258
216,21,Puebla,3,SI,428212,224279,203933,8136,8,215599,114805,138211
217,21,Puebla,4,SI,440695,228462,212233,8464,6,202726,124691,127467
218,21,Puebla,5,NO,446581,230395,216186,9849,9,217930,128559,141318
219,21,Puebla,6,NO,427654,221360,206294,8878,10,212817,131986,122495
220,21,Puebla,7,NO,479458,246850,232608,8312,8,221726,136500,130661
221,21,Puebla,8,NO,425584,218938,206646,10156,7,188681,131132,128250
222,21,Puebla,9,NO,394045,206976,187069,7739,11,203410,124866,129229
